Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
47014,"Av. de Miguel Ángel Blanco, 4, 47014 Valladolid, Spain",47186.00896.01.01,Valladolid,100786,JCDecaux - ES,['outdoor.urban_panels'],41.649995,-4.7353944,ES
48010,"Urkixo Zumarkalea, 41, 48010 Bilbo, Bizkaia, Spain",hq1QV:343269999,Bilbo,48617.14286,TuMedio Spain,['retail.parking_garages'],43.2598191,-2.9357201,ES
48010,"Urkixo Zumarkalea, 41, 48010 Bilbo, Bizkaia, Spain",hq1QV:343273835,Bilbo,46208.57143,TuMedio Spain,['retail.parking_garages'],43.2598191,-2.9357201,ES
33202,"C. Emilio Tuya, 20, 33202 Gijón, Asturias, Spain",hq1QV:346211413,Gijón,36784.28571,TuMedio Spain,['retail.parking_garages'],43.5396984,-5.6511673,ES
39008,"Empark Méjico Jeronimo S. De La Maza, 1, 39008 Santander, Cantabria, Spain",hq1QV:345840878,Santander,64401.42857,TuMedio Spain,['retail.parking_garages'],43.45773,-3.826328,ES
29006,"Av. de María Zambrano, 29006 Málaga, Spain",ES-MAL-DD-01061.D1.01,Málaga,71691,JCDecaux - ES,['outdoor.urban_panels'],36.7118761,-4.4662206,ES
8970,"Torrent d'en Negre, 5, 1º 3ª, 08970 Sant Joan Despí, Barcelona, Spain",ES-SJD-DD-00009.D1.01,Sant Joan Despí,61247,JCDecaux - ES,['outdoor.urban_panels'],41.36712,2.05628,ES
47014,"Av. de Salamanca, 47014 Valladolid, Spain",ES-VLL-DD-01010.D1.01,Valladolid,468681,JCDecaux - ES,['outdoor.urban_panels'],41.6480747,-4.7408101,ES
47014,"Av. de Salamanca, 47014 Valladolid, Spain",ES-VLL-DD-01010.D2.02,Valladolid,169131,JCDecaux - ES,['outdoor.urban_panels'],41.6480747,-4.7408101,ES
47001,"Pl. de España, 14, 47001 Valladolid, Spain",ES-VLL-DD-01013.D2.02,Valladolid,93429,JCDecaux - ES,['outdoor.urban_panels'],41.6485861,-4.7256016,ES
47001,"Pl. de España, 14, 47001 Valladolid, Spain",ES-VLL-DD-01013.D1.01,Valladolid,191132,JCDecaux - ES,['outdoor.urban_panels'],41.6485861,-4.7256016,ES
