Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
28221,"C. Mavi-Deli, 1, 28221 Majadahonda, Madrid, Spain",com.broadsign:e84d889d-eb60-41be-84ba-74a11a4b5b8c,Majadahonda,627403.5,Clear Channel Spain,['outdoor.bus_shelters'],40.473.766,-38.669.835,ES
28221,"C. Mavi-Deli, 1, 28221 Majadahonda, Madrid, Spain",com.broadsign:9584990c-3023-4b44-8040-b63444e66507,Majadahonda,1167912.0,Clear Channel Spain,['outdoor.bus_shelters'],40.473.766,-38.669.835,ES
28046,"Av. Pio XII, 255, 28046 Madrid, Spain",broadsign.com:162597528,Madrid,456961.5,Clear Channel Spain,['outdoor.urban_panels'],404.740.218,-36.877.026,ES
28046,"Av. Pio XII, 255, 28046 Madrid, Spain",com.broadsign:5d8bfe4a-9d43-467b-af2b-036ea3587b6b,Madrid,4568364.0,Clear Channel Spain,['outdoor.urban_panels'],404.740.218,-36.877.026,ES
28221,"Carretera de El Plantío, 55, 28221 Majadahonda, Madrid, Spain",com.broadsign:ac55085d-3672-47ae-bef6-bdd15530fde5,Majadahonda,370165.5,Clear Channel Spain,['outdoor.bus_shelters'],404.748.775,-38.461.362,ES
28221,"Carretera de El Plantío, 55, 28221 Majadahonda, Madrid, Spain",com.broadsign:a52f4590-488c-40ad-ab6c-9b0d2bb7e0e0,Majadahonda,491341.5,Clear Channel Spain,['outdoor.bus_shelters'],404.748.775,-38.461.362,ES
28221,"Carretera de El Plantío, 55, 28221 Majadahonda, Madrid, Spain",broadsign.com:879032671,Majadahonda,37026.0,Clear Channel Spain,['outdoor.bus_shelters'],404.748.775,-38.461.362,ES
28221,"Carretera de El Plantío, 61, 28221 Majadahonda, Madrid, Spain",com.broadsign:2c4ea58b-a386-449c-8827-6e981b18c91f,Majadahonda,578223.0,Clear Channel Spain,['outdoor.bus_shelters'],404.751.615,-38.416.587,ES
28221,"Carretera de El Plantío, 61, 28221 Majadahonda, Madrid, Spain",com.broadsign:b0d68633-6f25-488c-b10b-3b85b930043a,Majadahonda,2233210.5,Clear Channel Spain,['outdoor.bus_shelters'],404.751.615,-38.416.587,ES
28221,"Carretera de El Plantío, 61, 28221 Majadahonda, Madrid, Spain",broadsign.com:879019964,Majadahonda,57838.5,Clear Channel Spain,['outdoor.bus_shelters'],404.751.615,-38.416.587,ES
28046,"P.º de la Castellana, 28046 Madrid, Spain",broadsign.com:477258909,Madrid,731470.5,Clear Channel Spain,['outdoor.urban_panels'],404.750.825,-36.867.951,ES
28046,"P.º de la Castellana, 28046 Madrid, Spain",com.broadsign:b72db481-42c7-4faf-9d7b-33c6e21ae686,Madrid,7312738.5,Clear Channel Spain,['outdoor.urban_panels'],404.750.825,-36.867.951,ES
28221,"Carretera de El Plantío, 39, 28221 Majadahonda, Madrid, Spain",broadsign.com:882174068,Majadahonda,100611.0,Clear Channel Spain,['outdoor.bus_shelters'],404.753.708,-38.533.674,ES
28221,"Carretera de El Plantío, 39, 28221 Majadahonda, Madrid, Spain",com.broadsign:827ac585-dc3a-469e-973a-48bf7e4be33b,Majadahonda,1005813.0,Clear Channel Spain,['outdoor.bus_shelters'],404.753.708,-38.533.674,ES
28803,"Pl. Prta del Vado, 5, 28803 Alcalá de Henares, Madrid, Spain",broadsign.com:772005387,Alcalá de Henares,110088.0,Clear Channel Spain,['outdoor.bus_shelters'],404.770.485,-33.666.785,ES
28803,"Pl. Prta del Vado, 5, 28803 Alcalá de Henares, Madrid, Spain",com.broadsign:efb6be3e-79ef-4f91-a027-33733873f02f,Alcalá de Henares,1113111.0,Clear Channel Spain,['outdoor.bus_shelters'],404.770.485,-33.666.785,ES
28803,"Pl. Prta del Vado, 5, 28803 Alcalá de Henares, Madrid, Spain",com.broadsign:475f4b08-cd36-41e2-bf19-be8d775c59b3,Alcalá de Henares,1100560.5,Clear Channel Spain,['outdoor.bus_shelters'],404.770.485,-33.666.785,ES
28803,"P.º de los Curas, 22, 28803 Alcalá de Henares, Madrid, Spain",broadsign.com:809203570,Alcalá de Henares,132840.0,Clear Channel Spain,['outdoor.bus_shelters'],404.773.293,-3.368.365,ES
28803,"P.º de los Curas, 22, 28803 Alcalá de Henares, Madrid, Spain",com.broadsign:7953bbc3-fcc4-4b57-a669-10b9ec36ec64,Alcalá de Henares,1328044.5,Clear Channel Spain,['outdoor.bus_shelters'],404.773.293,-3.368.365,ES
28029,"Av. de Monforte de Lemos, 32B, 28029 Madrid, Spain",com.broadsign:7bbcc8ed-111f-43c4-b553-e80202c9c3df,Madrid,722659.5,Clear Channel Spain,['retail.malls'],404.791.168,-3.707.872,ES
28029,"Av. de Monforte de Lemos, 32B, 28029 Madrid, Spain",broadsign.com:657581118,Madrid,72288.0,Clear Channel Spain,['retail.malls'],404.791.168,-3.707.872,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:200365514,Madrid,219204.0,Clear Channel Spain,['retail.malls'],404.792.707,-37.079.695,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:0bed3d7e-c47a-48da-a5c0-08b6829cea79,Madrid,2191432.5,Clear Channel Spain,['retail.malls'],404.792.707,-37.079.695,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:200446776,Madrid,116649.0,Clear Channel Spain,['retail.malls'],404.792.707,-37.079.695,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:b2043d90-3d0f-4f97-8678-37e55639436f,Madrid,1166170.5,Clear Channel Spain,['retail.malls'],404.792.707,-37.079.695,ES
28220,"Av. España, 1, 28220 Majadahonda, Madrid, Spain",broadsign.com:881810576,Majadahonda,67725.0,Clear Channel Spain,['outdoor.bus_shelters'],404.793.418,-3.869.298.399.999.990,ES
28220,"Av. España, 1, 28220 Majadahonda, Madrid, Spain",com.broadsign:c78dcc96-9f39-4c11-b72e-6e0307beefda,Majadahonda,677070.0,Clear Channel Spain,['outdoor.bus_shelters'],404.793.418,-3.869.298.399.999.990,ES
28029,"Av. de Monforte de Lemos, 36, Local B - 114, 28029 Madrid, Spain",broadsign.com:305948767,Madrid,27216.0,Clear Channel Spain,['retail.malls'],404.795.246,-37.064.588,ES
28029,"Av. de Monforte de Lemos, 36, Local B - 114, 28029 Madrid, Spain",com.broadsign:84972fa0-b030-406d-a506-b0d79f9c53e3,Madrid,272083.5,Clear Channel Spain,['retail.malls'],404.795.246,-37.064.588,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:1c64736e-ad3b-4aaf-b54d-93306809dae7,Madrid,1166935.5,Clear Channel Spain,['retail.malls'],404.792.707,-37.079.695,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:199598092,Madrid,116725.5,Clear Channel Spain,['retail.malls'],404.792.707,-37.079.695,ES
28029,"Avenido Monforte de Lemos, 36 CC Vaguada Planta 1 Local 56, 28029 Madrid, Spain",broadsign.com:202058988,Madrid,205033.5,Clear Channel Spain,['retail.malls'],404.793.119,-37.082.093,ES
28029,"Avenido Monforte de Lemos, 36 CC Vaguada Planta 1 Local 56, 28029 Madrid, Spain",com.broadsign:6f1354f0-8043-4d6b-aa92-bbb2804af133,Madrid,2049781.5,Clear Channel Spain,['retail.malls'],404.793.119,-37.082.093,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:201708221,Madrid,205092.0,Clear Channel Spain,['retail.malls'],40.479.434,-37.078.328,ES
