Zipcode,Frame id,Full address,Name,City,Monthly impressions,Publisher,Type,Subtype,Venue types,SSP,Media,Screen,Latitude,Longitude,Administrative level 1,Administrative level 2,Country,Frame resolution,Min duration,Max duration
26009,ES-LOG-DD-00020.D2.02,"Las Norias, 26009, 26009 Logroño, La Rioja, Spain",Frame Alone,Logroño,6401.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,424.743.132,-24.540.908,RI,LO,ES,1080x1920,,10.0
31006,ES-PAM-DD-08034.D1.01,"C. del Sadar, 31006 Pamplona, Navarra, Spain",Frame Alone,Pamplona,81404.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,427.986.779,-16.425.772,NC,NA,ES,1080x1920,,10.0
31003,ES-PAM-DD-08032.D1.01,"Av. de Zaragoza, 24, 31003 Pamplona, Navarra, Spain",Frame Alone,Pamplona,278206.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.061.439,-16.445.939,NC,NA,ES,1080x1920,,10.0
31007,ES-PAM-DD-08005.D1.01,"C. Esquíroz, 14, 31007 Pamplona, Navarra, Spain",Frame Alone,Pamplona,153575.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.079.656,-16.492.697,NC,NA,ES,1080x1920,,10.0
31004,ES-PAM-DD-08035.D1.01,"C. del Monte Monjardín, 31004 Pamplona, Navarra, Spain",Frame Alone,Pamplona,51876.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,42.808.225,-16.332.055,NC,NA,ES,1080x1920,,10.0
31008,ES-PAM-DD-08042.D1.01,"C. de Acella, 19, 31008 Pamplona, Navarra, Spain",Frame Alone,Pamplona,21254.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.092.592,-16.604.375,NC,NA,ES,1080x1920,,10.0
31003,ES-PAM-DD-08004.D1.01,"C. de San Fermín, 42, 31003 Pamplona, Navarra, Spain",Frame Alone,Pamplona,72756.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,4.280.963.029.999.990,-16.431.444,NC,NA,ES,1080x1920,,10.0
31004,ES-PAM-DD-08036.D1.01,"Pl. de La Libertad, 4, 31004 Pamplona, Navarra, Spain",Frame Alone,Pamplona,28279.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.098.313,-16.363.608,NC,NA,ES,1080x1920,,10.0
31008,ES-PAM-DD-08051.D1.01,"Pl. de Pedro de Axular, 1, 31008 Pamplona, Navarra, Spain",Frame Alone,Pamplona,56252.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,4.281.041.099.999.990,-16.638.057,NC,NA,ES,1080x1920,,10.0
31008,ES-PAM-DD-08006.D1.01,"Av. de Pío XII, 31008 Pamplona, Navarra, Spain",Frame Alone,Pamplona,165798.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.105.291,-16.568.748,NC,NA,ES,1080x1920,,10.0
